aligned_name,source,taxonIDClean,taxonomicStatusClean,alternativeTaxonomicStatusClean,acceptedNameUsageID,canonicalName,scientificNameAuthorship,taxonRank,taxonomicStatus,family,subclass,taxonDistribution,ccAttributionIRI
Acacia baileyana,APC,https://id.biodiversity.org.au/node/apni/2915203,accepted,NA,https://id.biodiversity.org.au/node/apni/2915203,Acacia baileyana,F.Muell.,Species,accepted,Fabaceae,Magnoliidae,"WA (naturalised), SA (naturalised), Qld (naturalised), NSW (native and naturalised), ACT (naturalised), Vic (naturalised)",https://id.biodiversity.org.au/tree/51354547/51223464
Acacia cyclops,APC,https://id.biodiversity.org.au/node/apni/2888190,accepted,NA,https://id.biodiversity.org.au/node/apni/2888190,Acacia cyclops,A.Cunn. ex G.Don,Species,accepted,Fabaceae,Magnoliidae,"WA, SA (native and naturalised), Vic (naturalised)",https://id.biodiversity.org.au/tree/51354547/51223588
Acacia dealbata,APC,https://id.biodiversity.org.au/taxon/apni/51286863,accepted,taxonomic synonym,https://id.biodiversity.org.au/taxon/apni/51286863,Acacia dealbata,Link,Species,accepted,Fabaceae,Magnoliidae,"WA (naturalised), SA (naturalised), NSW, NI (doubtfully naturalised), ACT, Vic, Tas",https://id.biodiversity.org.au/tree/51354547/51301773
Acacia decurrens,APC,https://id.biodiversity.org.au/node/apni/2918954,accepted,NA,https://id.biodiversity.org.au/node/apni/2918954,Acacia decurrens,Willd.,Species,accepted,Fabaceae,Magnoliidae,"WA (naturalised), SA (naturalised), Qld (naturalised), NSW, ACT (naturalised), Vic (naturalised), Tas (naturalised)",https://id.biodiversity.org.au/tree/51354547/51223600
Acacia implexa,APC,https://id.biodiversity.org.au/node/apni/2890656,accepted,NA,https://id.biodiversity.org.au/node/apni/2890656,Acacia implexa,Benth.,Species,accepted,Fabaceae,Magnoliidae,"Qld, NSW, ACT, Vic, Tas",https://id.biodiversity.org.au/tree/51354547/51252947
Acacia longifolia,APC,https://id.biodiversity.org.au/taxon/apni/51286955,accepted,misapplied,https://id.biodiversity.org.au/taxon/apni/51286955,Acacia longifolia,(Andrews) Willd.,Species,accepted,Fabaceae,Magnoliidae,"WA (naturalised), SA (native and naturalised), Qld, NSW, NI (doubtfully naturalised), ACT (formerly naturalised), Vic (native and naturalised), Tas",https://id.biodiversity.org.au/tree/51354547/51343154
Acacia mearnsii,APC,https://id.biodiversity.org.au/node/apni/2918839,accepted,NA,https://id.biodiversity.org.au/node/apni/2918839,Acacia mearnsii,De Wild.,Species,accepted,Fabaceae,Magnoliidae,"WA (naturalised), SA (native and naturalised), NSW (native and naturalised), ACT, Vic, Tas",https://id.biodiversity.org.au/tree/51354547/51343153
Acacia melanoxylon,APC,https://id.biodiversity.org.au/node/apni/2903496,accepted,misapplied,https://id.biodiversity.org.au/node/apni/2903496,Acacia melanoxylon,R.Br.,Species,accepted,Fabaceae,Magnoliidae,"WA (naturalised), SA, Qld, NSW, ACT, Vic, Tas",https://id.biodiversity.org.au/tree/51354547/51223901
Acacia montana,APC,https://id.biodiversity.org.au/node/apni/2890777,accepted,NA,https://id.biodiversity.org.au/node/apni/2890777,Acacia montana,Benth.,Species,accepted,Fabaceae,Magnoliidae,"SA, Qld, NSW, Vic",https://id.biodiversity.org.au/tree/51354547/51341366
Acacia obliquinervia,APC,https://id.biodiversity.org.au/node/apni/2904629,accepted,NA,https://id.biodiversity.org.au/node/apni/2904629,Acacia obliquinervia,Tindale,Species,accepted,Fabaceae,Magnoliidae,"NSW, ACT, Vic",https://id.biodiversity.org.au/tree/51354547/51223956
