dataset_id,taxon_name,observation_id,trait_name,value,unit,entity_type,value_type,basis_of_value,replicates,basis_of_record,life_stage,population_id,individual_id,temporal_id,source_id,location_id,entity_context_id,plot_id,treatment_id,collection_date,measurement_remarks,method_id,original_name,fire intensity,replicate observations,sapwood sampling method,fire_intensity,fire_severity,fire_season,aligned_name,source,min_secondary_maturity,max_secondary_maturity,est_secondary_maturity
Clarke_2009,Acacia implexa,49,reproductive_maturity_secondary_after_fire,5,years,population,minimum,measurement,NA,field,adult,1,NA,1,NA,1,NA,NA,NA,1996/2008,NA,NA,Acacia implexa,NA,1,NA,NA,NA,NA,NA,NA,5,NA,NA
Clarke_2009,Acacia implexa,50,reproductive_maturity_secondary_after_fire,5,years,population,minimum,measurement,NA,field,adult,2,NA,1,NA,2,NA,NA,NA,1996/2008,NA,NA,Acacia implexa,NA,1,NA,NA,NA,NA,NA,NA,5,NA,NA
Clarke_2009,Jacksonia scoparia,640,reproductive_maturity_secondary_after_fire,2,years,population,minimum,measurement,NA,field,adult,1,NA,1,NA,1,NA,NA,NA,1996/2008,NA,NA,Jacksonia scoparia,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA
Clarke_2009,Jacksonia scoparia,641,reproductive_maturity_secondary_after_fire,2,years,population,minimum,measurement,NA,field,adult,2,NA,1,NA,2,NA,NA,NA,1996/2008,NA,NA,Jacksonia scoparia,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA
Clarke_2009,Jacksonia scoparia,642,reproductive_maturity_secondary_after_fire,2,years,population,minimum,measurement,NA,field,adult,6,NA,1,NA,6,NA,NA,NA,1996/2008,NA,NA,Jacksonia scoparia,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA
Clarke_2009,Leptospermum trinervium,697,reproductive_maturity_secondary_after_fire,2,years,population,minimum,measurement,NA,field,adult,1,NA,1,NA,1,NA,NA,NA,1996/2008,NA,NA,Leptospermum trinervium,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA
NSWFRD_2014,Acacia melanoxylon,94,reproductive_maturity_secondary_after_fire,>3<10,years,species,bin,measurement,NA,field,adult,NA,NA,1,NA,NA,NA,NA,NA,2002/2014,NA,NA,Acacia melanoxylon,NA,1,NA,NA,NA,NA,NA,NA,3,10,NA
NSWFRD_2014,Syzygium smithii,162,reproductive_maturity_secondary_after_fire,(84) (m) / 1 5,years,species,bin,measurement,NA,field,adult,NA,NA,1,NA,NA,NA,NA,NA,2002/2014,NA,NA,Acmena smithii,NA,1,NA,NA,NA,NA,NA,NA,1,5,NA
NSWFRD_2014,Banksia marginata,381,reproductive_maturity_secondary_after_fire,7--feb,years,species,bin,measurement,NA,field,adult,NA,NA,1,NA,NA,NA,NA,NA,2002/2014,NA,NA,Banksia marginata,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,7
NSWFRD_2014,Banksia serrata,391,reproductive_maturity_secondary_after_fire,3--feb,years,species,bin,measurement,NA,field,adult,NA,NA,1,NA,NA,NA,NA,NA,2002/2014,NA,NA,Banksia serrata,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3
NSWFRD_2014,Ceratopetalum gummiferum,686,reproductive_maturity_secondary_after_fire,(138) 1; 2--3,years,species,bin,measurement,NA,field,adult,NA,NA,1,NA,NA,NA,NA,NA,2002/2014,NA,NA,Ceratopetalum gummiferum,NA,1,NA,NA,NA,NA,NA,NA,2,3,NA
NSWFRD_2014,Corymbia gummifera,792,reproductive_maturity_secondary_after_fire,3,years,species,bin,measurement,NA,field,adult,NA,NA,1,NA,NA,NA,NA,NA,2002/2014,NA,NA,Corymbia gummifera,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3
NSWFRD_2014,Eucalyptus baxteri,1133,reproductive_maturity_secondary_after_fire,2,years,species,bin,measurement,NA,field,adult,NA,NA,1,NA,NA,NA,NA,NA,2002/2014,NA,NA,Eucalyptus baxteri,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2
NSWFRD_2014,Eucalyptus incrassata,1160,reproductive_maturity_secondary_after_fire,5,years,species,bin,measurement,NA,field,adult,NA,NA,1,NA,NA,NA,NA,NA,2002/2014,NA,NA,Eucalyptus costata subsp. murrayana,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5
NSWFRD_2014,Eucalyptus cypellocarpa,1165,reproductive_maturity_secondary_after_fire,>3<10,years,species,bin,measurement,NA,field,adult,NA,NA,1,NA,NA,NA,NA,NA,2002/2014,NA,NA,Eucalyptus cypellocarpa,NA,1,NA,NA,NA,NA,NA,NA,3,10,NA
NSWFRD_2014,Eucalyptus dives,1170,reproductive_maturity_secondary_after_fire,2,years,species,bin,measurement,NA,field,adult,NA,NA,1,NA,NA,NA,NA,NA,2002/2014,NA,NA,Eucalyptus dives,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2
NSWFRD_2014,Eucalyptus dumosa,1171,reproductive_maturity_secondary_after_fire,5,years,species,bin,measurement,NA,field,adult,NA,NA,1,NA,NA,NA,NA,NA,2002/2014,NA,NA,Eucalyptus dumosa,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5
NSWFRD_2014,Eucalyptus gracilis,1185,reproductive_maturity_secondary_after_fire,5,years,species,bin,measurement,NA,field,adult,NA,NA,1,NA,NA,NA,NA,NA,2002/2014,NA,NA,Eucalyptus gracilis,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5
NSWFRD_2014,Eucalyptus haemastoma,1188,reproductive_maturity_secondary_after_fire,< 3.5,years,species,bin,measurement,NA,field,adult,NA,NA,1,NA,NA,NA,NA,NA,2002/2014,NA,NA,Eucalyptus haemastoma,NA,1,NA,NA,NA,NA,NA,NA,NA,3.5,NA
NSWFRD_2014,Eucalyptus luehmanniana,1201,reproductive_maturity_secondary_after_fire,(fruit 2--4 5-6),years,species,bin,measurement,NA,field,adult,NA,NA,1,NA,NA,NA,NA,NA,2002/2014,NA,NA,Eucalyptus luehmanniana,NA,1,NA,NA,NA,NA,NA,NA,2,4,NA
NSWFRD_2014,Eucalyptus obliqua,1219,reproductive_maturity_secondary_after_fire,2,years,species,bin,measurement,NA,field,adult,NA,NA,1,NA,NA,NA,NA,NA,2002/2014,NA,NA,Eucalyptus obliqua,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2
NSWFRD_2014,Eucalyptus ovata,1227,reproductive_maturity_secondary_after_fire,>3<10,years,species,bin,measurement,NA,field,adult,NA,NA,1,NA,NA,NA,NA,NA,2002/2014,NA,NA,Eucalyptus ovata,NA,1,NA,NA,NA,NA,NA,NA,3,10,NA
NSWFRD_2014,Eucalyptus globulus subsp. pseudoglobulus,1240,reproductive_maturity_secondary_after_fire,7,years,species,bin,measurement,NA,field,adult,NA,NA,1,NA,NA,NA,NA,NA,2002/2014,NA,NA,Eucalyptus pseudoglobulus,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,7
NSWFRD_2014,Eucalyptus sideroxylon,1258,reproductive_maturity_secondary_after_fire,3,years,species,bin,measurement,NA,field,adult,NA,NA,1,NA,NA,NA,NA,NA,2002/2014,NA,NA,Eucalyptus sideroxylon,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3
NSWFRD_2014,Eucalyptus sieberi,1259,reproductive_maturity_secondary_after_fire,4,years,species,bin,measurement,NA,field,adult,NA,NA,1,NA,NA,NA,NA,NA,2002/2014,NA,NA,Eucalyptus sieberi,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4
