checked,original_name,aligned_name,source,canonicalName,canonicalName_subbed,canonicalName_to_species,family,known,scientificNameAuthorship,subclass,taxonDistribution,taxonomicStatus,taxonRank
TRUE,Acacia baileyana,Acacia baileyana,APC list (accepted),Acacia baileyana,Acacia baileyana,Acacia baileyana,Fabaceae,TRUE,F.Muell.,Magnoliidae,"WA (naturalised), SA (naturalised), Qld (naturalised), NSW (native and naturalised), ACT (naturalised), Vic (naturalised)",accepted,Species
TRUE,Acacia cyclops,Acacia cyclops,APC list (accepted),Acacia cyclops,Acacia cyclops,Acacia cyclops,Fabaceae,TRUE,A.Cunn. ex G.Don,Magnoliidae,"WA, SA (native and naturalised), Vic (naturalised)",accepted,Species
TRUE,Acacia dealbata,Acacia dealbata,APC list (accepted),Acacia dealbata,Acacia dealbata,Acacia dealbata,Fabaceae,TRUE,Link,Magnoliidae,"WA (naturalised), SA (naturalised), NSW, NI (doubtfully naturalised), ACT, Vic, Tas",accepted,Species
TRUE,Acacia decurrens,Acacia decurrens,APC list (accepted),Acacia decurrens,Acacia decurrens,Acacia decurrens,Fabaceae,TRUE,Willd.,Magnoliidae,"WA (naturalised), SA (naturalised), Qld (naturalised), NSW, ACT (naturalised), Vic (naturalised), Tas (naturalised)",accepted,Species
TRUE,Acacia implexa,Acacia implexa,APC list (accepted),Acacia implexa,Acacia implexa,Acacia implexa,Fabaceae,TRUE,Benth.,Magnoliidae,"Qld, NSW, ACT, Vic, Tas",accepted,Species
TRUE,Acacia longifolia,Acacia longifolia,APC list (accepted),Acacia longifolia,Acacia longifolia,Acacia longifolia,Fabaceae,TRUE,(Andrews) Willd.,Magnoliidae,"WA (naturalised), SA (native and naturalised), Qld, NSW, NI (doubtfully naturalised), ACT (formerly naturalised), Vic (native and naturalised), Tas",accepted,Species
TRUE,Acacia mearnsii,Acacia mearnsii,APC list (accepted),Acacia mearnsii,Acacia mearnsii,Acacia mearnsii,Fabaceae,TRUE,De Wild.,Magnoliidae,"WA (naturalised), SA (native and naturalised), NSW (native and naturalised), ACT, Vic, Tas",accepted,Species
TRUE,Acacia melanoxylon,Acacia melanoxylon,APC list (accepted),Acacia melanoxylon,Acacia melanoxylon,Acacia melanoxylon,Fabaceae,TRUE,R.Br.,Magnoliidae,"WA (naturalised), SA, Qld, NSW, ACT, Vic, Tas",accepted,Species
TRUE,Acacia montana,Acacia montana,APC list (accepted),Acacia montana,Acacia montana,Acacia montana,Fabaceae,TRUE,Benth.,Magnoliidae,"SA, Qld, NSW, Vic",accepted,Species
TRUE,Acacia obliquinerva,Acacia obliquinervia,APC list (accepted),Acacia obliquinervia,Acacia obliquinervia,Acacia obliquinervia,Fabaceae,TRUE,Tindale,Magnoliidae,"NSW, ACT, Vic",accepted,Species
TRUE,Acacia pendula,Acacia pendula,APC list (accepted),Acacia pendula,Acacia pendula,Acacia pendula,Fabaceae,TRUE,A.Cunn. ex G.Don,Magnoliidae,"SA, Qld, NSW, Vic (native and naturalised)",accepted,Species
TRUE,Acacia podalyriifolia,Acacia podalyriifolia,APC list (accepted),Acacia podalyriifolia,Acacia podalyriifolia,Acacia podalyriifolia,Fabaceae,TRUE,A.Cunn. ex G.Don,Magnoliidae,"WA (naturalised), SA (naturalised), Qld (native and naturalised), NSW, Vic (doubtfully naturalised)",accepted,Species
TRUE,Acacia pycnantha,Acacia pycnantha,APC list (accepted),Acacia pycnantha,Acacia pycnantha,Acacia pycnantha,Fabaceae,TRUE,Benth.,Magnoliidae,"WA (naturalised), SA, NSW (native and naturalised), ACT, Vic, Tas (naturalised)",accepted,Species
TRUE,Acacia ulicifolia,Acacia ulicifolia,APC list (accepted),Acacia ulicifolia,Acacia ulicifolia,Acacia ulicifolia,Fabaceae,TRUE,(Salisb.) Court,Magnoliidae,"Qld, NSW, ACT, Vic, Tas",accepted,Species
TRUE,Acacia veronica,Acacia veronica,APC list (accepted),Acacia veronica,Acacia veronica,Acacia veronica,Fabaceae,TRUE,Maslin,Magnoliidae,WA,accepted,Species
TRUE,Allocasuarina acutivalvis,Allocasuarina acutivalvis,APC list (accepted),Allocasuarina acutivalvis,Allocasuarina acutivalvis,Allocasuarina acutivalvis,Casuarinaceae,TRUE,(F.Muell.) L.A.S.Johnson,Magnoliidae,WA,accepted,Species
TRUE,Allocasuarina campestris,Allocasuarina campestris,APC list (accepted),Allocasuarina campestris,Allocasuarina campestris,Allocasuarina campestris,Casuarinaceae,TRUE,(Diels) L.A.S.Johnson,Magnoliidae,WA,accepted,Species
TRUE,Allocasuarina diminuta,Allocasuarina diminuta,APC list (accepted),Allocasuarina diminuta,Allocasuarina diminuta,Allocasuarina diminuta,Casuarinaceae,TRUE,L.A.S.Johnson,Magnoliidae,NSW,accepted,Species
TRUE,Allocasuarina distyla,Allocasuarina distyla,APC list (accepted),Allocasuarina distyla,Allocasuarina distyla,Allocasuarina distyla,Casuarinaceae,TRUE,(Vent.) L.A.S.Johnson,Magnoliidae,NSW,accepted,Species
TRUE,Allocasuarina luehmannii,Allocasuarina luehmannii,APC list (accepted),Allocasuarina luehmannii,Allocasuarina luehmannii,Allocasuarina luehmannii,Casuarinaceae,TRUE,(R.T.Baker) L.A.S.Johnson,Magnoliidae,"SA, Qld, NSW, ACT, Vic",accepted,Species
TRUE,Allocasuarina muelleriana,Allocasuarina muelleriana,APC list (accepted),Allocasuarina muelleriana,Allocasuarina muelleriana,Allocasuarina muelleriana,Casuarinaceae,TRUE,(Miq.) L.A.S.Johnson,Magnoliidae,"SA, Vic",accepted,Species
TRUE,Casuarina nana,Casuarina nana,APC list (known names),Allocasuarina nana,Allocasuarina nana,Allocasuarina nana,Casuarinaceae,TRUE,(Sieber ex Spreng.) L.A.S.Johnson,Magnoliidae,"NSW, Vic",accepted,Species
TRUE,Allocasuarina striata,Allocasuarina striata,APC list (accepted),Allocasuarina striata,Allocasuarina striata,Allocasuarina striata,Casuarinaceae,TRUE,(Macklin) L.A.S.Johnson,Magnoliidae,SA,accepted,Species
TRUE,Allocasuarina torulosa,Allocasuarina torulosa,APC list (accepted),Allocasuarina torulosa,Allocasuarina torulosa,Allocasuarina torulosa,Casuarinaceae,TRUE,(Aiton) L.A.S.Johnson,Magnoliidae,"Qld, NSW",accepted,Species
TRUE,Allocasuarina verticillata,Allocasuarina verticillata,APC list (accepted),Allocasuarina verticillata,Allocasuarina verticillata,Allocasuarina verticillata,Casuarinaceae,TRUE,(Lam.) L.A.S.Johnson,Magnoliidae,"SA, NSW, ACT, Vic, Tas",accepted,Species
TRUE,Allocasuarina verticellata,Allocasuarina verticillata,APC list (accepted),Allocasuarina verticillata,Allocasuarina verticillata,Allocasuarina verticillata,Casuarinaceae,TRUE,(Lam.) L.A.S.Johnson,Magnoliidae,"SA, NSW, ACT, Vic, Tas",accepted,Species
TRUE,Alyxia ruscifolia,Alyxia ruscifolia,APC list (accepted),Alyxia ruscifolia,Alyxia ruscifolia,Alyxia ruscifolia,Apocynaceae,TRUE,R.Br.,Magnoliidae,"Qld, NSW, LHI",accepted,Species
TRUE,Amyena,Amyema,APNI names,Amyema,Amyema,Amyema,Loranthaceae,TRUE,Tiegh.,Magnoliidae,"WA, NT, Qld, NSW, ACT, Vic",accepted,Genus
TRUE,Amyema miquelii,Amyema miquelii,APC list (accepted),Amyema miquelii,Amyema miquelii,Amyema miquelii,Loranthaceae,TRUE,(Lehm. ex Miq.) Tiegh.,Magnoliidae,"WA, NT, SA, Qld, NSW, Vic",accepted,Species
TRUE,Amyena miquelii,Amyema miquelii,APC list (accepted),Amyema miquelii,Amyema miquelii,Amyema miquelii,Loranthaceae,TRUE,(Lehm. ex Miq.) Tiegh.,Magnoliidae,"WA, NT, SA, Qld, NSW, Vic",accepted,Species
TRUE,Amyema miraculosa,Amyema miraculosa,APC list (accepted),Amyema miraculosa,Amyema miraculosa,Amyema miraculosa,Loranthaceae,TRUE,(Miq.) Tiegh.,Magnoliidae,"WA, NT, SA, Qld, NSW, Vic",accepted,Species
TRUE,Amyema nestor,Amyema nestor,APC list (accepted),Amyema nestor,Amyema nestor,Amyema nestor,Loranthaceae,TRUE,(S.Moore) Danser,Magnoliidae,WA,accepted,Species
TRUE,Amyema pendula,Amyema pendula,APC list (accepted),Amyema pendula,Amyema pendula,Amyema pendula,Loranthaceae,TRUE,(Sieber ex Spreng.) Tiegh.,Magnoliidae,"SA, Qld, NSW, ACT, Vic",accepted,Species
TRUE,Amyena preissii,Amyema preissii,APC list (accepted),Amyema preissii,Amyema preissii,Amyema preissii,Loranthaceae,TRUE,(Miq.) Tiegh.,Magnoliidae,"WA, NT, SA, Qld, NSW, Vic",accepted,Species
TRUE,Amyema preissii,Amyema preissii,APC list (accepted),Amyema preissii,Amyema preissii,Amyema preissii,Loranthaceae,TRUE,(Miq.) Tiegh.,Magnoliidae,"WA, NT, SA, Qld, NSW, Vic",accepted,Species
TRUE,Amyema preisii,Amyema preisii,APC list (known names),Amyema preissii,Amyema preissii,Amyema preissii,Loranthaceae,TRUE,(Miq.) Tiegh.,Magnoliidae,"WA, NT, SA, Qld, NSW, Vic",accepted,Species
TRUE,Amyema quandang,Amyema quandang,APC list (accepted),Amyema quandang,Amyema quandang,Amyema quandang,Loranthaceae,TRUE,(Lindl.) Tiegh.,Magnoliidae,"WA, NT, SA, Qld, NSW, Vic",accepted,Species
TRUE,Anacardiaceae,Anacardiaceae,APNI names,Anacardiaceae,Anacardiaceae,Anacardiaceae,Anacardiaceae,TRUE,R.Br.,Magnoliidae,"WA (native and naturalised), ChI (native and naturalised), NT (native and naturalised), SA (naturalised), Qld (native and naturalised), NSW (native and naturalised), NI (naturalised), ACT (naturalised), Vic (naturalised)",accepted,Familia
TRUE,Angophora,Angophora,APNI names,Angophora,Angophora,Angophora,Myrtaceae,TRUE,Cav.,Magnoliidae,"Qld, NSW, Vic (native and naturalised)",accepted,Genus
TRUE,Angophora floribunda,Angophora floribunda,APC list (accepted),Angophora floribunda,Angophora floribunda,Angophora floribunda,Myrtaceae,TRUE,(Sm.) Sweet,Magnoliidae,"Qld, NSW, Vic",accepted,Species
TRUE,Angophora woodsiana,Angophora woodsiana,APC list (accepted),Angophora woodsiana,Angophora woodsiana,Angophora woodsiana,Myrtaceae,TRUE,F.M.Bailey,Magnoliidae,"Qld, NSW",accepted,Species
TRUE,Apocynaceae,Apocynaceae,APNI names,Apocynaceae,Apocynaceae,Apocynaceae,Apocynaceae,TRUE,Juss.,Magnoliidae,"WA (native and naturalised), CoI, ChI (native and naturalised), NT (native and naturalised), SA (native and naturalised), Qld (native and naturalised), NSW (native and naturalised), LHI (native and naturalised), NI (native and naturalised), ACT (naturalised), Vic (native and naturalised), Tas (native and naturalised)",accepted,Familia
TRUE,Asteraceae,Asteraceae,APNI names,Asteraceae,Asteraceae,Asteraceae,Asteraceae,TRUE,Bercht. & J.Presl,Magnoliidae,"WA (native and naturalised), CoI (native and naturalised), ChI (native and naturalised), NT (native and naturalised), SA (native and naturalised), Qld (native and naturalised), CSI (naturalised), NSW (native and naturalised), LHI (native and naturalised), NI (naturalised), ACT (native and naturalised), Vic (native and naturalised), Tas (native and naturalised), MI",accepted,Familia
TRUE,Backhousia myrtifolia,Backhousia myrtifolia,APC list (accepted),Backhousia myrtifolia,Backhousia myrtifolia,Backhousia myrtifolia,Myrtaceae,TRUE,Hook. & Harv.,Magnoliidae,"Qld, NSW",accepted,Species
TRUE,Banksia brownii,Banksia brownii,APC list (accepted),Banksia brownii,Banksia brownii,Banksia brownii,Proteaceae,TRUE,Baxter ex R.Br.,Magnoliidae,WA,accepted,Species
TRUE,Baksia brownii,Banksia brownii,APC list (accepted),Banksia brownii,Banksia brownii,Banksia brownii,Proteaceae,TRUE,Baxter ex R.Br.,Magnoliidae,WA,accepted,Species
TRUE,Banksia marginata,Banksia marginata,APC list (accepted),Banksia marginata,Banksia marginata,Banksia marginata,Proteaceae,TRUE,Cav.,Magnoliidae,"SA, NSW, ACT, Vic, Tas",accepted,Species
TRUE,Banksia serrata,Banksia serrata,APC list (accepted),Banksia serrata,Banksia serrata,Banksia serrata,Proteaceae,TRUE,L.f.,Magnoliidae,"Qld, NSW, Vic, Tas",accepted,Species
TRUE,Bombax ceiba,Bombax ceiba,APC list (accepted),Bombax ceiba,Bombax ceiba,Bombax ceiba,Malvaceae,TRUE,L.,Magnoliidae,"WA, NT, Qld",accepted,Species
TRUE,Boronia megastigma,Boronia megastigma,APC list (accepted),Boronia megastigma,Boronia megastigma,Boronia megastigma,Rutaceae,TRUE,Nees ex Bartl.,Magnoliidae,WA,accepted,Species
TRUE,Brachychiton acerifolius,Brachychiton acerifolius,APC list (accepted),Brachychiton acerifolius,Brachychiton acerifolius,Brachychiton acerifolius,Malvaceae,TRUE,(A.Cunn. ex G.Don) F.Muell.,Magnoliidae,"Qld, NSW (native and doubtfully naturalised), LHI (doubtfully naturalised)",accepted,Species
TRUE,Brachychiton populneus,Brachychiton populneus,APC list (accepted),Brachychiton populneus,Brachychiton populneus,Brachychiton populneus,Malvaceae,TRUE,(Schott & Endl.) R.Br.,Magnoliidae,"WA (naturalised), NT (naturalised), SA (naturalised), Qld, NSW, ACT, Vic (native and naturalised)",accepted,Species
TRUE,Brachichiton populneus,Brachychiton populneus,APC list (accepted),Brachychiton populneus,Brachychiton populneus,Brachychiton populneus,Malvaceae,TRUE,(Schott & Endl.) R.Br.,Magnoliidae,"WA (naturalised), NT (naturalised), SA (naturalised), Qld, NSW, ACT, Vic (native and naturalised)",accepted,Species
TRUE,Buchanania obovata,Buchanania obovata,APC list (accepted),Buchanania obovata,Buchanania obovata,Buchanania obovata,Anacardiaceae,TRUE,Engl.,Magnoliidae,"WA, NT, Qld",accepted,Species
TRUE,Calandrinia,Calandrinia,APNI names,Calandrinia,Calandrinia,Calandrinia,Portulacaceae,TRUE,Kunth,Magnoliidae,"WA (native and naturalised), NT, SA, Qld, NSW, Vic, Tas (native and naturalised)",accepted,Genus
TRUE,Callistemon,Callistemon,APNI names,Callistemon,Callistemon,Callistemon,Myrtaceae,TRUE,R.Br.,Magnoliidae,"WA, NT, SA, Qld, NSW, LHI, ACT (native and naturalised), Vic (native and naturalised), Tas",accepted,Genus
TRUE,Callistemon pallidus,Callistemon pallidus,APC list (accepted),Callistemon pallidus,Callistemon pallidus,Callistemon pallidus,Myrtaceae,TRUE,(Bonpl.) DC.,Magnoliidae,"Qld, NSW, ACT, Vic, Tas",accepted,Species
TRUE,Callistemon viminalis,Callistemon viminalis,APC list (accepted),Callistemon viminalis,Callistemon viminalis,Callistemon viminalis,Myrtaceae,TRUE,(Sol. ex Gaertn.) G.Don,Magnoliidae,"WA, SA, Qld, NSW",accepted,Species
TRUE,Calophyllum,Calophyllum,APNI names,Calophyllum,Calophyllum,Calophyllum,Clusiaceae,TRUE,L.,Magnoliidae,"WA, CoI, ChI, NT, Qld, CSI",accepted,Genus
TRUE,Calophyllum inophyllum,Calophyllum inophyllum,APC list (accepted),Calophyllum inophyllum,Calophyllum inophyllum,Calophyllum inophyllum,Clusiaceae,TRUE,L.,Magnoliidae,"CoI, ChI, NT, Qld, CSI",accepted,Species
TRUE,Calophyllum soulattri,Calophyllum soulattri,APC list (accepted),Calophyllum soulattri,Calophyllum soulattri,Calophyllum soulattri,Clusiaceae,TRUE,Burm.f.,Magnoliidae,NT,accepted,Species
TRUE,Calothamnus,Calothamnus,APNI names,Calothamnus,Calothamnus,Calothamnus,Myrtaceae,TRUE,Labill.,Magnoliidae,WA (native and naturalised),accepted,Genus
TRUE,Capparidaceae,Capparidaceae,APNI names,Capparaceae,Capparaceae,Capparaceae,Capparaceae,TRUE,Juss.,Magnoliidae,"WA, NT (native and doubtfully naturalised), SA, Qld, NSW, NI",accepted,Familia
TRUE,Apophyllum anomalum,Apophyllum anomalum,APC list (known names),Capparis anomala,Capparis anomala,Capparis anomala,Capparaceae,TRUE,(F.Muell.) Byng & Christenh.,Magnoliidae,"Qld, NSW",accepted,Species
TRUE,Capparis mitchellii,Capparis mitchellii,APC list (accepted),Capparis mitchellii,Capparis mitchellii,Capparis mitchellii,Capparaceae,TRUE,Lindl.,Magnoliidae,"WA, NT, SA, Qld, NSW",accepted,Species
TRUE,Cassia fistula,Cassia fistula,APC list (accepted),Cassia fistula,Cassia fistula,Cassia fistula,Fabaceae,TRUE,L.,Magnoliidae,"WA (naturalised), NT (naturalised), Qld (naturalised)",accepted,Species
TRUE,Casuarina,Casuarina,APNI names,Casuarina,Casuarina,Casuarina,Casuarinaceae,TRUE,L.,Magnoliidae,"WA (native and naturalised), NT (native and naturalised), SA (native and naturalised), Qld, NSW, NI (naturalised), ACT",accepted,Genus
TRUE,Casuarina cristata,Casuarina cristata,APC list (accepted),Casuarina cristata,Casuarina cristata,Casuarina cristata,Casuarinaceae,TRUE,Miq.,Magnoliidae,"Qld, NSW",accepted,Species
TRUE,Casuarina cunninghamiana,Casuarina cunninghamiana,APC list (accepted),Casuarina cunninghamiana,Casuarina cunninghamiana,Casuarina cunninghamiana,Casuarinaceae,TRUE,Miq.,Magnoliidae,"WA (naturalised), NT, Qld, NSW, ACT",accepted,Species
TRUE,Casuarina equisetifolia,Casuarina equisetifolia,APC list (accepted),Casuarina equisetifolia,Casuarina equisetifolia,Casuarina equisetifolia,Casuarinaceae,TRUE,L.,Magnoliidae,"WA (naturalised), CoI (naturalised), NT, Qld, NSW",accepted,Species
TRUE,Casuarina glauca,Casuarina glauca,APC list (accepted),Casuarina glauca,Casuarina glauca,Casuarina glauca,Casuarinaceae,TRUE,Sieber ex Spreng.,Magnoliidae,"WA (naturalised), NT (naturalised), SA (naturalised), Qld, NSW, NI (naturalised), Vic (naturalised)",accepted,Species
TRUE,Causarina glauca,Casuarina glauca,APC list (accepted),Casuarina glauca,Casuarina glauca,Casuarina glauca,Casuarinaceae,TRUE,Sieber ex Spreng.,Magnoliidae,"WA (naturalised), NT (naturalised), SA (naturalised), Qld, NSW, NI (naturalised), Vic (naturalised)",accepted,Species
TRUE,Casuarina obesa,Casuarina obesa,APC list (accepted),Casuarina obesa,Casuarina obesa,Casuarina obesa,Casuarinaceae,TRUE,Miq.,Magnoliidae,"WA, SA (naturalised), NSW, Vic",accepted,Species
TRUE,Casuarina pauper,Casuarina pauper,APC list (accepted),Casuarina pauper,Casuarina pauper,Casuarina pauper,Casuarinaceae,TRUE,F.Muell. ex L.A.S.Johnson,Magnoliidae,"WA, SA, Qld, NSW, Vic",accepted,Species
TRUE,Causuarina pauper,Casuarina pauper,APC list (accepted),Casuarina pauper,Casuarina pauper,Casuarina pauper,Casuarinaceae,TRUE,F.Muell. ex L.A.S.Johnson,Magnoliidae,"WA, SA, Qld, NSW, Vic",accepted,Species
TRUE,Casuarinaceae,Casuarinaceae,APNI names,Casuarinaceae,Casuarinaceae,Casuarinaceae,Casuarinaceae,TRUE,R.Br.,Magnoliidae,"WA (native and naturalised), CoI (naturalised), NT (native and naturalised), SA (native and naturalised), Qld, NSW, NI (naturalised), ACT, Vic (native and naturalised), Tas",accepted,Familia
