taxon_name,resprouts,post_fire_seeder,no_signif_fire_response,max_maturity,min_maturity,est_secondary_maturity,max_secondary_maturity,min_secondary_maturity
Acacia baileyana,FALSE,TRUE,FALSE,NA,3,NA,NA,NA
Acacia cyclops,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
Acacia dealbata,TRUE,TRUE,FALSE,6,5,NA,NA,NA
Acacia decurrens,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA
Acacia implexa,TRUE,TRUE,FALSE,5,1,NA,NA,5
Acacia longifolia,FALSE,TRUE,FALSE,20,5,NA,NA,NA
Acacia mearnsii,TRUE,TRUE,FALSE,20,5,NA,NA,NA
Acacia melanoxylon,TRUE,TRUE,FALSE,20,5,NA,10,3
Acacia montana,FALSE,TRUE,FALSE,20,5,NA,NA,NA
Acacia obliquinervia,FALSE,TRUE,FALSE,20,5,NA,NA,NA
Acacia pendula,TRUE,TRUE,FALSE,20,5,NA,NA,NA
Acacia podalyriifolia,FALSE,TRUE,FALSE,NA,3,NA,NA,NA
Acacia pycnantha,TRUE,TRUE,FALSE,3,2,NA,NA,NA
Acacia ulicifolia,TRUE,TRUE,FALSE,5,1,NA,NA,NA
Allocasuarina distyla,FALSE,TRUE,FALSE,9,6,NA,NA,NA
Allocasuarina luehmannii,TRUE,TRUE,FALSE,20,5,NA,NA,NA
Allocasuarina muelleriana,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA
Allocasuarina nana,TRUE,FALSE,FALSE,20,5,NA,NA,NA
Allocasuarina striata,FALSE,FALSE,TRUE,20,5,NA,NA,NA
Allocasuarina torulosa,TRUE,TRUE,FALSE,7,NA,NA,NA,NA
Allocasuarina verticillata,TRUE,TRUE,FALSE,20,5,NA,NA,NA
Alyxia ruscifolia,TRUE,FALSE,FALSE,7,5,NA,NA,NA
Amyema,FALSE,FALSE,FALSE,5,1,NA,NA,NA
Amyema miquelii,FALSE,TRUE,FALSE,5,1,NA,NA,NA
Amyema miraculosa,FALSE,TRUE,FALSE,5,1,NA,NA,NA
Amyema pendula,FALSE,TRUE,FALSE,5,1,NA,NA,NA
Amyema preissii,FALSE,TRUE,FALSE,5,1,NA,NA,NA
Amyema quandang,FALSE,TRUE,FALSE,5,1,NA,NA,NA
Angophora,FALSE,FALSE,TRUE,20,5,NA,NA,NA
Angophora floribunda,TRUE,TRUE,TRUE,20,5,NA,NA,NA
Angophora woodsiana,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
Asteraceae,FALSE,FALSE,FALSE,5,1,NA,NA,NA
Backhousia myrtifolia,TRUE,FALSE,FALSE,5,1,NA,NA,NA
Banksia brownii,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA
Banksia marginata,TRUE,TRUE,FALSE,9,2,7,NA,NA
Banksia serrata,TRUE,TRUE,TRUE,20,2,3,NA,NA
Bombax ceiba,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA
Brachychiton acerifolius,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
Brachychiton populneus,TRUE,FALSE,FALSE,20,5,NA,NA,NA
Buchanania obovata,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA
Calandrinia,FALSE,FALSE,FALSE,1,0,NA,NA,NA
Callistemon,FALSE,FALSE,TRUE,20,5,NA,NA,NA
Callistemon pallidus,TRUE,TRUE,TRUE,5,1,NA,NA,NA
Callistemon viminalis,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA
Calothamnus,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA
Capparis mitchellii,TRUE,FALSE,FALSE,20,5,NA,NA,NA
Casuarina,FALSE,FALSE,FALSE,20,5,NA,NA,NA
Casuarina cristata,FALSE,FALSE,FALSE,20,5,NA,NA,NA
Casuarina cunninghamiana,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA
Casuarina glauca,TRUE,FALSE,FALSE,8,5,NA,NA,NA
Casuarina obesa,FALSE,FALSE,FALSE,20,5,NA,NA,NA
Casuarina pauper,FALSE,FALSE,FALSE,20,5,NA,NA,NA
Ceratopetalum apetalum,TRUE,FALSE,TRUE,20,5,NA,NA,NA
Ceratopetalum gummiferum,TRUE,FALSE,TRUE,20,1,NA,3,2
Chamaecytisus palmensis,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA
Corymbia citriodora,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA
Corymbia dichromophloia,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
Corymbia gummifera,TRUE,TRUE,TRUE,20,3,3,NA,NA
Corymbia maculata,TRUE,TRUE,TRUE,20,5,NA,NA,NA
Corymbia papuana,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
Corymbia terminalis,TRUE,FALSE,TRUE,20,5,NA,NA,NA
Corymbia tessellaris,TRUE,FALSE,TRUE,20,5,NA,NA,NA
Corymbia trachyphloia,TRUE,TRUE,TRUE,20,5,NA,NA,NA
Daviesia,FALSE,FALSE,TRUE,20,5,NA,NA,NA
Dodonaea viscosa,TRUE,TRUE,TRUE,20,3,NA,NA,NA
Eremophila,FALSE,FALSE,TRUE,5,1,NA,NA,NA
Eremophila freelingii,TRUE,FALSE,FALSE,5,1,NA,NA,NA
Eremophila latrobei,TRUE,FALSE,FALSE,5,1,NA,NA,NA
Eremophila longifolia,TRUE,TRUE,FALSE,5,1,NA,NA,NA
Eremophila oppositifolia subsp. angustifolia,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA
Eremophila scoparia,TRUE,TRUE,FALSE,5,1,NA,NA,NA
Eremophila serrulata,FALSE,FALSE,FALSE,5,1,NA,NA,NA
Eremophila sturtii,TRUE,FALSE,FALSE,5,1,NA,NA,NA
Erythrophleum chlorostachys,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA
Eucalyptus,TRUE,TRUE,TRUE,20,5,NA,NA,NA
Eucalyptus acmenoides,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA
Eucalyptus agglomerata,TRUE,TRUE,TRUE,20,5,NA,NA,NA
Eucalyptus alba,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
Eucalyptus albens,TRUE,TRUE,TRUE,20,5,NA,NA,NA
Eucalyptus amplifolia,TRUE,FALSE,TRUE,20,5,NA,NA,NA
Eucalyptus amygdalina,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
Eucalyptus andrewsii,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA
Eucalyptus annulata,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
Eucalyptus argillacea,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
Eucalyptus argophloia,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
Eucalyptus aromaphloia,TRUE,FALSE,TRUE,20,5,NA,NA,NA
Eucalyptus baileyana,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA
Eucalyptus bakeri,TRUE,FALSE,FALSE,20,5,NA,NA,NA
Eucalyptus baxteri,TRUE,TRUE,TRUE,20,2,2,NA,NA
Eucalyptus bigalerita,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
Eucalyptus blakelyi,TRUE,TRUE,TRUE,20,5,NA,NA,NA
Eucalyptus bosistoana,TRUE,FALSE,TRUE,20,5,NA,NA,NA
Eucalyptus botryoides,TRUE,TRUE,TRUE,20,5,NA,NA,NA
Eucalyptus brachyandra,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
Eucalyptus brachycalyx,TRUE,FALSE,FALSE,20,5,NA,NA,NA
Eucalyptus brassiana,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
Eucalyptus brevifolia,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
Eucalyptus bridgesiana,TRUE,TRUE,TRUE,20,5,NA,NA,NA
Eucalyptus burgessiana,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
Eucalyptus caleyi,TRUE,TRUE,TRUE,20,5,NA,NA,NA
Eucalyptus caliginosa,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA
Eucalyptus calycogona,TRUE,TRUE,FALSE,20,5,NA,NA,NA
Eucalyptus camaldulensis,TRUE,TRUE,FALSE,20,5,NA,NA,NA
Eucalyptus camaldulensis subsp. camaldulensis,TRUE,FALSE,FALSE,20,5,NA,NA,NA
Eucalyptus cambageana,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
Eucalyptus camfieldii,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
Eucalyptus campaspe,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
Eucalyptus capitellata,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
Eucalyptus cephalocarpa,TRUE,FALSE,TRUE,20,5,NA,NA,NA
Eucalyptus cinerea,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
Eucalyptus cladocalyx,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA
Eucalyptus cloeziana,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
Eucalyptus cneorifolia,TRUE,FALSE,FALSE,20,5,NA,NA,NA
Eucalyptus coccifera,TRUE,FALSE,TRUE,20,5,NA,NA,NA
Eucalyptus conglomerata,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
Eucalyptus cornuta,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
Eucalyptus cosmophylla,TRUE,FALSE,TRUE,20,5,NA,NA,NA
Eucalyptus crebra,TRUE,TRUE,TRUE,20,5,NA,NA,NA
Eucalyptus cunninghamii,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
Eucalyptus curtisii,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
Eucalyptus cylindriflora,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
Eucalyptus cypellocarpa,TRUE,TRUE,TRUE,20,5,NA,10,3
Eucalyptus dalrympleana,TRUE,TRUE,TRUE,20,5,NA,NA,NA
Eucalyptus dealbata,TRUE,TRUE,TRUE,20,5,NA,NA,NA
Eucalyptus deanei,TRUE,TRUE,FALSE,20,5,NA,NA,NA
Eucalyptus decipiens,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
Eucalyptus delegatensis,FALSE,TRUE,FALSE,20,5,NA,NA,NA
Eucalyptus diversicolor,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
Eucalyptus diversifolia,TRUE,FALSE,FALSE,20,5,NA,NA,NA
Eucalyptus dives,TRUE,TRUE,TRUE,20,2,2,NA,NA
Eucalyptus dumosa,TRUE,TRUE,FALSE,20,5,5,NA,NA
Eucalyptus dundasii,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
Eucalyptus dunnii,TRUE,FALSE,FALSE,2,NA,NA,NA,NA
Eucalyptus dwyeri,FALSE,FALSE,TRUE,20,5,NA,NA,NA
Eucalyptus elata,TRUE,FALSE,TRUE,20,5,NA,NA,NA
Eucalyptus eudesmioides,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
Eucalyptus eugenioides,TRUE,TRUE,TRUE,20,5,NA,NA,NA
Eucalyptus exserta,TRUE,FALSE,TRUE,20,5,NA,NA,NA
Eucalyptus fasciculosa,TRUE,FALSE,TRUE,20,5,NA,NA,NA
Eucalyptus fibrosa,TRUE,TRUE,TRUE,20,5,NA,NA,NA
Eucalyptus foecunda,TRUE,FALSE,FALSE,20,5,NA,NA,NA
Eucalyptus forrestiana,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
Eucalyptus gamophylla,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
Eucalyptus globoidea,TRUE,TRUE,TRUE,20,5,NA,NA,NA
Eucalyptus globulus,TRUE,TRUE,TRUE,20,5,NA,NA,NA
Eucalyptus globulus subsp. bicostata,TRUE,TRUE,TRUE,20,5,NA,NA,NA
Eucalyptus globulus subsp. pseudoglobulus,TRUE,TRUE,TRUE,7,5,7,NA,NA
Eucalyptus gomphocephala,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA
Eucalyptus gongylocarpa,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
Eucalyptus goniocalyx,TRUE,TRUE,TRUE,20,5,NA,NA,NA
Eucalyptus gracilis,TRUE,TRUE,TRUE,20,5,5,NA,NA
Eucalyptus grandis,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA
Eucalyptus griffithsii,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
Eucalyptus haemastoma,TRUE,TRUE,TRUE,20,3,NA,3.5,NA
Eucalyptus houseana,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
Eucalyptus howittiana,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
Eucalyptus incrassata,TRUE,TRUE,FALSE,20,5,5,NA,NA
Eucalyptus intertexta,TRUE,FALSE,TRUE,20,5,NA,NA,NA
Eucalyptus jacksonii,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
Eucalyptus jensenii,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
Eucalyptus jutsonii,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
Eucalyptus kitsoniana,TRUE,FALSE,FALSE,20,5,NA,NA,NA
Eucalyptus largiflorens,TRUE,FALSE,FALSE,20,5,NA,NA,NA
Eucalyptus leptophleba,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
Eucalyptus leptopoda,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
Eucalyptus lesouefii,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
Eucalyptus leucoxylon,TRUE,TRUE,TRUE,20,5,NA,NA,NA
Eucalyptus longifolia,TRUE,FALSE,TRUE,20,5,NA,NA,NA
Eucalyptus luehmanniana,TRUE,FALSE,FALSE,6,2,NA,4,2
Eucalyptus macarthurii,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
Eucalyptus macrandra,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
Eucalyptus macrorhyncha,TRUE,TRUE,TRUE,20,5,NA,NA,NA
Eucalyptus major,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
