taxon_name,resprouting_binomial,seeding_binomial,avg_maturity_primary,avg_maturity_secondary,bin_maturity_primary,min_maturity_primary,min_maturity_secondary
Abelmoschus ficulneus,FALSE,TRUE,NA,NA,1,NA,NA
Abelmoschus manihot,FALSE,NA,NA,NA,2--3,NA,NA
Abelmoschus moschatus,TRUE,TRUE,NA,NA,NA,NA,NA
Abelmoschus moschatus subsp. tuberosus,TRUE,NA,NA,NA,1,NA,NA
Abrodictyum caudatum,FALSE,NA,NA,NA,1--5,NA,NA
Abrodictyum obscurum,FALSE,NA,NA,NA,NA,NA,NA
Abrotanella forsteroides,TRUE,NA,NA,NA,NA,NA,NA
Abrotanella nivigena,TRUE,NA,NA,NA,1--5,NA,NA
Abrotanella sp. [White_2020],TRUE,NA,NA,NA,1--5,NA,NA
Abrus precatorius,TRUE,NA,NA,NA,NA,NA,NA
Abrus precatorius subsp. precatorius,TRUE,NA,NA,NA,NA,NA,NA
Abutilon calliphyllum,FALSE,NA,NA,NA,0--1,NA,NA
Abutilon cryptopetalum,TRUE,NA,NA,NA,1,NA,NA
Abutilon fraseri,FALSE,NA,NA,NA,0--1,NA,NA
Abutilon fraseri subsp. diplotrichum,FALSE,NA,NA,NA,0--1,NA,NA
Abutilon fraseri subsp. fraseri,FALSE,NA,NA,NA,0--1,NA,NA
Abutilon grandifolium,FALSE,TRUE,NA,NA,NA,NA,NA
Abutilon halophilum,FALSE,NA,NA,NA,0--1,NA,NA
Abutilon hannii,FALSE,TRUE,NA,NA,1,NA,NA
Abutilon indicum,FALSE,NA,NA,NA,1,NA,NA
Abutilon indicum subsp. albescens,FALSE,NA,NA,NA,1,NA,NA
Abutilon lepidum,FALSE,NA,NA,NA,1,NA,NA
Abutilon leucopetalum,TRUE,NA,NA,NA,1,NA,NA
Abutilon macrum,FALSE,NA,NA,NA,1,NA,NA
Abutilon malvifolium,FALSE,NA,NA,NA,0--1,NA,NA
Abutilon otocarpum,FALSE,TRUE,NA,NA,1,NA,NA
Abutilon oxycarpum,FALSE,TRUE,NA,NA,0--1,NA,NA
Abutilon oxycarpum var. incanum,FALSE,NA,NA,NA,0--1,NA,NA
Abutilon oxycarpum var. oxycarpum,FALSE,FALSE,NA,NA,0--1,NA,NA
Abutilon oxycarpum var. subsagittatum,FALSE,FALSE,NA,NA,0--1,NA,NA
Abutilon sp. [White_2020],FALSE,NA,NA,NA,0--1,NA,NA
Acacia X grayana,FALSE,NA,NA,NA,5--20,NA,NA
Acacia abbreviata,FALSE,TRUE,NA,NA,2--3,NA,NA
Acacia abrupta,FALSE,NA,NA,NA,4--5,NA,NA
Acacia acanthoclada,FALSE,TRUE,NA,NA,NA,NA,NA
Acacia acanthoclada subsp. acanthoclada,FALSE,TRUE,NA,NA,5--20,NA,NA
Acacia acinacea,TRUE,NA,NA,NA,5--20,3,NA
Acacia acradenia,TRUE,TRUE,NA,NA,NA,NA,NA
Acacia aculeatissima,FALSE,TRUE,NA,NA,5--20,4,NA
Acacia acuminata,TRUE,TRUE,5,NA,NA,NA,NA
Acacia adoxa var. adoxa,NA,TRUE,NA,NA,NA,NA,NA
Acacia adsurgens,FALSE,TRUE,NA,NA,2--3,NA,NA
Acacia adunca,FALSE,NA,NA,NA,NA,NA,NA
Acacia aemula subsp. muricata,FALSE,NA,NA,NA,NA,NA,NA
Acacia alata,FALSE,TRUE,2,NA,NA,NA,NA
Acacia alaticaulis,FALSE,NA,NA,NA,NA,3,NA
Acacia alleniana,FALSE,TRUE,NA,NA,2--3,NA,NA
Acacia alpina,FALSE,TRUE,NA,NA,5--20,NA,NA
Acacia amanda,TRUE,NA,NA,NA,4--5,NA,NA
Acacia ammobia,FALSE,TRUE,NA,NA,6--10,NA,NA
Acacia amoena,FALSE,NA,NA,NA,5--20,NA,NA
Acacia ampliceps,FALSE,NA,NA,NA,2--3,NA,NA
Acacia anaticeps,TRUE,NA,NA,NA,NA,NA,NA
Acacia ancistrocarpa,TRUE,TRUE,NA,NA,NA,NA,NA
Acacia ancistrophylla var. lissophylla,FALSE,NA,NA,NA,5--20,NA,NA
Acacia aneura,FALSE,TRUE,4,NA,10--,NA,NA
Acacia aneura var. aneura,FALSE,NA,10,NA,10--,NA,NA
Acacia aneura var. major,FALSE,NA,NA,NA,10--,NA,NA
Acacia anomala,TRUE,NA,NA,NA,NA,NA,NA
Acacia aphylla,FALSE,NA,2.5,NA,NA,NA,NA
Acacia applanata,TRUE,TRUE,NA,NA,NA,NA,NA
Acacia aprepta,FALSE,NA,NA,NA,5--20,NA,NA
Acacia aptaneura,FALSE,NA,NA,NA,10--,NA,NA
Acacia arafurica,FALSE,NA,NA,NA,2--3,NA,NA
Acacia argyraea,FALSE,NA,NA,NA,4--5,NA,NA
Acacia argyrophylla,FALSE,NA,NA,NA,5--20,NA,NA
Acacia arida,TRUE,NA,NA,NA,NA,NA,NA
Acacia armitii,FALSE,NA,NA,NA,2--3,NA,NA
Acacia aspera,FALSE,NA,NA,NA,5--20,NA,NA
Acacia aspera subsp. aspera,FALSE,NA,NA,NA,5--20,NA,NA
Acacia aspera subsp. parviceps,FALSE,NA,NA,NA,5--20,NA,NA
Acacia asperulacea,FALSE,NA,NA,NA,4--5,NA,NA
Acacia assimilis subsp. atroviridis,FALSE,TRUE,NA,NA,NA,NA,NA
Acacia aulacocarpa,TRUE,TRUE,NA,NA,NA,NA,NA
Acacia auriculiformis,FALSE,TRUE,NA,NA,6--10,NA,NA
Acacia auronitens,TRUE,TRUE,2,NA,NA,NA,NA
Acacia ausfeldii,FALSE,NA,NA,NA,5--20,NA,NA
Acacia axillaris,FALSE,NA,NA,NA,NA,NA,NA
Acacia ayersiana,FALSE,TRUE,NA,NA,10--,NA,NA
Acacia baileyana,FALSE,TRUE,NA,NA,NA,2.616279,NA
Acacia barbinervis,TRUE,TRUE,NA,NA,NA,NA,NA
Acacia barbinervis subsp. borealis,TRUE,NA,NA,NA,NA,NA,NA
Acacia barrettiorum,FALSE,TRUE,NA,NA,NA,NA,NA
