taxon_name,fire_intensity,fire_severity,fire_season,trait_name,value,aligned_name,source
Acacia acradenia,high,NA,NA,fire_response,fire_killed,Acacia acradenia,APC list (accepted)
Acacia adoxa var. adoxa,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Acacia adoxa var. adoxa,APC list (accepted)
Acacia adsurgens,NA,NA,NA,fire_response,fire_killed,Acacia adsurgens,APC list (accepted)
Acacia adsurgens,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Acacia adsurgens,APC list (accepted)
Acacia ammobia,NA,NA,NA,fire_response,fire_killed,Acacia ammobia,APC list (accepted)
Acacia anaticeps,NA,NA,NA,fire_response,resprouts,Acacia anaticeps,APC list (accepted)
Acacia ancistrocarpa,NA,NA,NA,fire_response,fire_killed,Acacia ancistrocarpa,APC list (accepted)
Acacia ancistrocarpa,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Acacia ancistrocarpa,APC list (accepted)
Acacia arida,NA,NA,NA,fire_response,resprouts,Acacia arida,APC list (accepted)
Acacia ayersiana,NA,NA,NA,fire_response,fire_killed resprouts,Acacia ayersiana,APC list (accepted)
Acacia baileyana,NA,NA,NA,fire_response,fire_killed,Acacia baileyana,APC list (accepted)
Acacia baileyana,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Acacia baileyana,APC list (accepted)
Acacia barrettiorum,NA,NA,NA,fire_response,fire_killed,Acacia barrettiorum,APC list (accepted)
Acacia barrettiorum,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Acacia barrettiorum,APC list (accepted)
Acacia bivenosa,moderate_to_high,NA,NA,fire_response,fire_killed,Acacia bivenosa,APC list (accepted)
Acacia bivenosa,moderate_to_high,NA,NA,post_fire_recruitment,post_fire_recruitment,Acacia bivenosa,APC list (accepted)
Acacia bivenosa,low,NA,NA,fire_response,resprouts,Acacia bivenosa,APC list (accepted)
Acacia catenulata subsp. occidentalis,moderate_to_high,NA,NA,fire_response,fire_killed,Acacia catenulata subsp. occidentalis,APC list (accepted)
Acacia catenulata subsp. occidentalis,low,NA,NA,fire_response,resprouts,Acacia catenulata subsp. occidentalis,APC list (accepted)
Acacia complanata,NA,NA,NA,fire_response,fire_killed,Acacia complanata,APC list (accepted)
Acacia complanata,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Acacia complanata,APC list (accepted)
Acacia dealbata,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Acacia dealbata,APC list (accepted)
Acacia dealbata,NA,NA,NA,fire_response,fire_killed,Acacia dealbata,APC list (accepted)
Acacia dealbata,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Acacia dealbata,APC list (accepted)
Acacia dealbata,NA,NA,NA,fire_response,resprouts,Acacia dealbata,APC list (accepted)
Acacia dealbata,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Acacia dealbata,APC list (accepted)
Acacia decora,NA,NA,NA,fire_response,resprouts,Acacia decora,APC list (accepted)
Acacia decurrens,NA,NA,NA,fire_response,resprouts,Acacia decurrens,APC list (accepted)
Acacia decurrens,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Acacia decurrens,APC list (accepted)
Acacia dictyophleba,NA,NA,NA,fire_response,resprouts,Acacia dictyophleba,APC list (accepted)
Acacia dictyophleba,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Acacia dictyophleba,APC list (accepted)
Acacia doratoxylon,NA,NA,NA,fire_response,resprouts,Acacia doratoxylon,APC list (accepted)
Acacia doratoxylon,NA,NA,NA,fire_response,resprouts,Acacia doratoxylon,APC list (accepted)
Acacia elata,NA,NA,NA,fire_response,fire_killed resprouts,Acacia elata,APC list (accepted)
Acacia elata,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Acacia elata,APC list (accepted)
Acacia falciformis,NA,NA,NA,fire_response,resprouts,Acacia falciformis,APC list (accepted)
Acacia fecunda,NA,NA,NA,fire_response,fire_killed,Acacia fecunda,APC list (accepted)
Acacia fecunda,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Acacia fecunda,APC list (accepted)
Acacia floribunda,NA,NA,NA,fire_response,resprouts,Acacia floribunda,APC list (accepted)
Acacia floribunda,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Acacia floribunda,APC list (accepted)
Acacia gordonii,NA,NA,NA,fire_response,resprouts,Acacia gordonii,APC list (accepted)
Acacia gordonii,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Acacia gordonii,APC list (accepted)
Acacia handonis,NA,NA,NA,fire_response,fire_killed,Acacia handonis,APC list (accepted)
Acacia handonis,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Acacia handonis,APC list (accepted)
Acacia inaequilatera,NA,NA,NA,fire_response,resprouts,Acacia inaequilatera,APC list (accepted)
Acacia inaequilatera,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Acacia inaequilatera,APC list (accepted)
Acacia iteaphylla,NA,NA,NA,fire_response,fire_killed,Acacia iteaphylla,APC list (accepted)
Acacia iteaphylla,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Acacia iteaphylla,APC list (accepted)
Acacia longifolia,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Acacia longifolia,APC list (accepted)
Acacia longifolia subsp. longifolia,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Acacia longifolia subsp. longifolia,APC list (accepted)
Acacia longifolia subsp. sophorae,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Acacia longifolia subsp. sophorae,APC list (accepted)
Acacia maitlandii,moderate_to_high,NA,NA,fire_response,fire_killed,Acacia maitlandii,APC list (accepted)
Acacia maitlandii,low,NA,NA,fire_response,resprouts,Acacia maitlandii,APC list (accepted)
Acacia marramamba,NA,NA,NA,fire_response,resprouts,Acacia marramamba,APC list (accepted)
Acacia meiantha,NA,NA,NA,fire_response,resprouts,Acacia meiantha,APC list (accepted)
Acacia meiantha,NA,NA,NA,fire_response,resprouts,Acacia meiantha,APC list (accepted)
Acacia melanoxylon,NA,NA,NA,fire_response,resprouts,Acacia melanoxylon,APC list (accepted)
Acacia melanoxylon,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Acacia melanoxylon,APC list (accepted)
Acacia melleodora,NA,NA,NA,fire_response,fire_killed resprouts,Acacia melleodora,APC list (accepted)
Acacia microbotrya,NA,NA,NA,fire_response,resprouts,Acacia microbotrya,APC list (accepted)
Acacia microbotrya,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Acacia microbotrya,APC list (accepted)
Acacia mimula,NA,NA,NA,fire_response,resprouts,Acacia mimula,APC list (accepted)
Acacia minutissima,NA,NA,NA,fire_response,fire_killed,Acacia minutissima,APC list (accepted)
Acacia minutissima,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Acacia minutissima,APC list (accepted)
Acacia minyura,NA,NA,NA,fire_response,resprouts,Acacia minyura,APC list (accepted)
Acacia monticola,moderate_to_high,NA,NA,fire_response,fire_killed,Acacia monticola,APC list (accepted)
Acacia monticola,moderate_to_high,NA,NA,post_fire_recruitment,post_fire_recruitment,Acacia monticola,APC list (accepted)
Acacia monticola,low,NA,NA,fire_response,resprouts,Acacia monticola,APC list (accepted)
Acacia mulganeura,NA,NA,NA,fire_response,fire_killed,Acacia mulganeura,APC list (accepted)
Acacia murrayana,NA,NA,NA,fire_response,resprouts,Acacia murrayana,APC list (accepted)
Acacia oligoneura,NA,NA,NA,fire_response,resprouts,Acacia oligoneura,APC list (accepted)
Acacia oligoneura,NA,NA,NA,fire_response,resprouts,Acacia oligoneura,APC list (accepted)
Acacia podalyriifolia,NA,NA,NA,fire_response,fire_killed,Acacia podalyriifolia,APC list (accepted)
Acacia podalyriifolia,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Acacia podalyriifolia,APC list (accepted)
Acacia purpureopetala,NA,NA,NA,fire_response,fire_killed,Acacia purpureopetala,APC list (accepted)
Acacia purpureopetala,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Acacia purpureopetala,APC list (accepted)
Acacia pycnantha,NA,NA,NA,fire_response,resprouts,Acacia pycnantha,APC list (accepted)
Acacia pycnantha,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Acacia pycnantha,APC list (accepted)
Acacia seclusa,NA,NA,NA,fire_response,fire_killed,Acacia seclusa,APC list (accepted)
Acacia seclusa,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Acacia seclusa,APC list (accepted)
Acacia sericophylla,NA,NA,NA,fire_response,resprouts,Acacia sericophylla,APC list (accepted)
Acacia silvestris,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Acacia silvestris,APC list (accepted)
Acacia spectra,NA,NA,NA,fire_response,fire_killed,Acacia spectra,APNI names
Acacia spectra,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Acacia spectra,APNI names
Acacia steedmanii subsp. borealis,NA,NA,NA,fire_response,resprouts,Acacia steedmanii subsp. borealis,APC list (accepted)
Acacia steedmanii subsp. borealis,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Acacia steedmanii subsp. borealis,APC list (accepted)
Acacia stellaticeps,NA,NA,NA,fire_response,resprouts fire_killed,Acacia stellaticeps,APC list (accepted)
Acacia stellaticeps,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Acacia stellaticeps,APC list (accepted)
Acacia thomsonii,NA,NA,NA,fire_response,fire_killed,Acacia thomsonii,APC list (accepted)
Acacia thomsonii,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Acacia thomsonii,APC list (accepted)
Acacia tolmerensis,NA,NA,NA,fire_response,resprouts,Acacia tolmerensis,APC list (accepted)
Acacia trudgeniana,NA,NA,NA,fire_response,resprouts,Acacia trudgeniana,APC list (accepted)
Acacia tuberculata,NA,NA,NA,fire_response,resprouts,Acacia tuberculata,APC list (accepted)
Acacia umbellata,NA,NA,NA,fire_response,fire_killed,Acacia umbellata,APC list (accepted)
Acacia umbellata,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Acacia umbellata,APC list (accepted)
Acacia urophylla,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Acacia urophylla,APC list (accepted)
Acacia wollarensis,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Acacia wollarensis,APNI names
Acacia xiphophylla,low,NA,NA,fire_response,resprouts,Acacia xiphophylla,APC list (accepted)
Acacia xiphophylla,moderate_to_high,NA,NA,fire_response,fire_killed,Acacia xiphophylla,APC list (accepted)
Acacia xiphophylla,moderate_to_high,NA,NA,post_fire_recruitment,post_fire_recruitment,Acacia xiphophylla,APC list (accepted)
Acrotriche divaricata,high,NA,NA,fire_response,fire_killed,Acrotriche divaricata,APC list (accepted)
Actinotus forsythii,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Actinotus forsythii,APC list (accepted)
Ailanthus altissima,NA,NA,NA,fire_response,resprouts,Ailanthus altissima,APC list (accepted)
Ornithogalum maximum,NA,NA,NA,fire_response,resprouts,Albuca canadensis,APC list (known names)
Alexgeorgea ganopoda,NA,NA,NA,fire_response,resprouts,Alexgeorgea ganopoda,APC list (accepted)
Alexgeorgea nitens,NA,NA,NA,fire_response,resprouts,Alexgeorgea nitens,APC list (accepted)
Alexgeorgea subterranea,NA,NA,NA,fire_response,resprouts fire_killed,Alexgeorgea subterranea,APC list (accepted)
Alexgeorgea subterranea,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Alexgeorgea subterranea,APC list (accepted)
Allium triquetrum,NA,NA,NA,fire_response,resprouts,Allium triquetrum,APC list (accepted)
Allocasuarina simulans,NA,NA,NA,fire_response,resprouts,Allocasuarina simulans,APC list (accepted)
Alopecurus myosuroides,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Alopecurus myosuroides,APC list (accepted)
Alstonia actinophylla,moderate,NA,NA,fire_response,resprouts,Alstonia actinophylla,APC list (accepted)
Amaryllis belladonna,NA,NA,NA,fire_response,resprouts,Amaryllis belladonna,APC list (accepted)
Ammophila arenaria,NA,NA,NA,fire_response,resprouts,Ammophila arenaria,APC list (accepted)
NA,NA,NA,NA,fire_response,resprouts,NA,NA
Anarthria gracilis,NA,NA,NA,fire_response,resprouts,Anarthria gracilis,APC list (accepted)
Anarthria humilis,NA,NA,NA,fire_response,resprouts,Anarthria humilis,APC list (accepted)
Anarthria laevis,NA,NA,NA,fire_response,resprouts,Anarthria laevis,APC list (accepted)
Anarthria polyphylla,NA,NA,NA,fire_response,fire_killed,Anarthria polyphylla,APC list (accepted)
Anarthria polyphylla,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Anarthria polyphylla,APC list (accepted)
Anarthria prolifera,NA,NA,NA,fire_response,resprouts fire_killed,Anarthria prolifera,APC list (accepted)
Anarthria prolifera,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Anarthria prolifera,APC list (accepted)
Anarthria scabra,NA,NA,NA,fire_response,resprouts,Anarthria scabra,APC list (accepted)
Androcalva rosea,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Androcalva rosea,APC list (accepted)
Anigozanthos gabrielae,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Anigozanthos gabrielae,APC list (accepted)
Anigozanthos kalbarriensis,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Anigozanthos kalbarriensis,APC list (accepted)
Anigozanthos onycis,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Anigozanthos onycis,APC list (accepted)
Anredera cordifolia,NA,NA,NA,fire_response,no_significant_fire_response,Anredera cordifolia,APC list (accepted)
Anthelepis paludosa,NA,NA,NA,fire_response,resprouts fire_killed,Anthelepis paludosa,APNI names
Anthocercis ilicifolia,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Anthocercis ilicifolia,APC list (accepted)
Anthocercis ilicifolia subsp. ilicifolia,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Anthocercis ilicifolia subsp. ilicifolia,APC list (accepted)
Anthocercis littorea,NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Anthocercis littorea,APC list (accepted)
Anthoxanthum odoratum,NA,NA,NA,fire_response,resprouts,Anthoxanthum odoratum,APC list (accepted)
Apodasmia,NA,NA,NA,fire_response,resprouts,Apodasmia,APNI names
Apodasmia brownii,NA,NA,NA,fire_response,resprouts,Apodasmia brownii,APC list (accepted)
Apodasmia ceramophila,NA,NA,NA,fire_response,resprouts,Apodasmia ceramophila,APC list (accepted)
Aristolochia holtzei,NA,NA,NA,fire_response,resprouts,Aristolochia holtzei,APC list (accepted)
Arundo donax,NA,NA,NA,fire_response,resprouts,Arundo donax,APC list (accepted)
Asparagus aethiopicus,NA,NA,NA,fire_response,resprouts,Asparagus aethiopicus,APC list (accepted)
Asparagus asparagoides,NA,NA,NA,fire_response,resprouts,Asparagus asparagoides,APC list (accepted)
Asparagus declinatus,NA,NA,NA,fire_response,resprouts,Asparagus declinatus,APC list (accepted)
Asparagus scandens,NA,NA,NA,fire_response,resprouts,Asparagus scandens,APC list (accepted)
Astrotricha parvifolia subsp. Gippsland Lakes (A.C.Beauglehole 49618),NA,NA,NA,fire_response,fire_killed,Astrotricha parvifolia subsp. 1,APC list (known names)
Astrotricha parvifolia subsp. Gippsland Lakes (A.C.Beauglehole 49618),NA,NA,NA,post_fire_recruitment,post_fire_recruitment,Astrotricha parvifolia subsp. 1,APC list (known names)
